SubscriptionId,InvestorId,ProductId,ProductCategory,LoanApplicationId,IsFinalPayBack,IsThirdPartyConfirmed,num_loan,num_batch,last_payment_late,PaidLate,IsDefaulted
SubscriptionId_4,InvestorId_3,ProductId_7,airtime,LoanApplicationId_1629,1,0,39,1,0,False,0
SubscriptionId_1,InvestorId_2,ProductId_7,airtime,LoanApplicationId_136,1,0,2,1,0,False,0
SubscriptionId_1,InvestorId_2,ProductId_7,airtime,LoanApplicationId_1171,1,0,10,1,0,False,0
SubscriptionId_1,InvestorId_2,ProductId_7,airtime,LoanApplicationId_702,1,0,10,1,0,False,0
SubscriptionId_1,InvestorId_2,ProductId_4,data_bundles,LoanApplicationId_508,1,0,10,1,0,False,0
SubscriptionId_1,InvestorId_2,ProductId_7,airtime,LoanApplicationId_1546,1,0,39,1,0,False,0
SubscriptionId_1,InvestorId_2,ProductId_7,airtime,LoanApplicationId_376,1,0,39,1,0,False,0
SubscriptionId_1,InvestorId_2,ProductId_7,airtime,LoanApplicationId_1247,1,0,3,1,0,False,0
SubscriptionId_1,InvestorId_2,ProductId_7,airtime,LoanApplicationId_164,1,0,3,1,1,True,1
SubscriptionId_1,InvestorId_2,ProductId_7,airtime,LoanApplicationId_1411,1,0,39,1,0,False,0
SubscriptionId_1,InvestorId_2,ProductId_6,tv,LoanApplicationId_836,1,1,1,1,1,True,0
SubscriptionId_1,InvestorId_2,ProductId_4,data_bundles,LoanApplicationId_641,1,1,10,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_1587,1,1,7,1,0,False,0
SubscriptionId_1,InvestorId_2,ProductId_7,airtime,LoanApplicationId_1394,1,1,13,1,0,False,0
SubscriptionId_1,InvestorId_2,ProductId_15,utility_bill,LoanApplicationId_534,0,1,16,2,1,True,0
SubscriptionId_1,InvestorId_2,ProductId_15,utility_bill,LoanApplicationId_534,1,1,16,2,1,True,0
SubscriptionId_1,InvestorId_2,ProductId_3,airtime,LoanApplicationId_937,0,1,3,1,1,True,1
SubscriptionId_1,InvestorId_2,ProductId_7,airtime,LoanApplicationId_2,1,1,39,1,1,True,0
SubscriptionId_1,InvestorId_2,ProductId_17,movies,LoanApplicationId_1385,1,1,39,1,1,True,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_1078,1,1,3,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_15,utility_bill,LoanApplicationId_229,0,1,3,2,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_15,utility_bill,LoanApplicationId_229,1,1,3,2,0,False,0
SubscriptionId_1,InvestorId_2,ProductId_7,airtime,LoanApplicationId_842,1,1,39,1,1,True,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_1431,1,1,7,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_1,airtime,LoanApplicationId_726,1,1,4,1,0,False,0
SubscriptionId_1,InvestorId_2,ProductId_7,airtime,LoanApplicationId_1020,1,1,39,1,1,True,0
SubscriptionId_1,InvestorId_2,ProductId_17,movies,LoanApplicationId_1047,1,1,39,1,1,True,0
SubscriptionId_7,InvestorId_1,ProductId_4,data_bundles,LoanApplicationId_1095,1,1,8,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_9,utility_bill,LoanApplicationId_189,0,1,4,2,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_9,utility_bill,LoanApplicationId_189,1,1,4,2,0,True,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_248,0,1,7,1,1,True,0
SubscriptionId_1,InvestorId_2,ProductId_7,airtime,LoanApplicationId_1515,1,1,39,1,1,True,0
SubscriptionId_7,InvestorId_1,ProductId_15,utility_bill,LoanApplicationId_392,1,1,3,1,0,False,0
SubscriptionId_1,InvestorId_2,ProductId_4,data_bundles,LoanApplicationId_119,1,1,16,1,0,False,0
SubscriptionId_1,InvestorId_2,ProductId_7,airtime,LoanApplicationId_374,1,1,13,1,0,False,0
SubscriptionId_1,InvestorId_2,ProductId_7,airtime,LoanApplicationId_1349,1,1,13,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_9,utility_bill,LoanApplicationId_878,1,1,8,1,0,False,0
SubscriptionId_1,InvestorId_2,ProductId_6,tv,LoanApplicationId_762,0,1,16,2,1,False,0
SubscriptionId_1,InvestorId_2,ProductId_6,tv,LoanApplicationId_762,1,1,16,2,1,True,0
SubscriptionId_1,InvestorId_2,ProductId_17,movies,LoanApplicationId_142,1,1,39,1,1,True,0
SubscriptionId_1,InvestorId_2,ProductId_7,airtime,LoanApplicationId_1436,1,1,11,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_7,airtime,LoanApplicationId_917,0,1,23,2,1,False,0
SubscriptionId_7,InvestorId_1,ProductId_7,airtime,LoanApplicationId_917,1,1,23,2,1,True,0
SubscriptionId_1,InvestorId_2,ProductId_3,airtime,LoanApplicationId_738,1,1,1,1,0,False,0
SubscriptionId_1,InvestorId_2,ProductId_3,airtime,LoanApplicationId_697,1,1,11,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_1,airtime,LoanApplicationId_373,1,1,4,1,1,True,0
SubscriptionId_7,InvestorId_1,ProductId_15,utility_bill,LoanApplicationId_707,1,1,1,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_17,movies,LoanApplicationId_315,1,1,7,1,1,True,0
SubscriptionId_7,InvestorId_1,ProductId_4,data_bundles,LoanApplicationId_968,1,1,5,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_13,tv,LoanApplicationId_39,1,1,5,1,0,False,0
SubscriptionId_1,InvestorId_2,ProductId_9,utility_bill,LoanApplicationId_30,1,1,1,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_1,airtime,LoanApplicationId_223,1,1,4,1,1,True,0
SubscriptionId_7,InvestorId_1,ProductId_1,airtime,LoanApplicationId_1371,1,1,4,1,1,True,0
SubscriptionId_1,InvestorId_2,ProductId_7,airtime,LoanApplicationId_910,1,1,39,1,0,False,0
SubscriptionId_1,InvestorId_2,ProductId_7,airtime,LoanApplicationId_47,1,1,39,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_4,data_bundles,LoanApplicationId_60,1,1,1,1,1,True,0
SubscriptionId_7,InvestorId_1,ProductId_13,tv,LoanApplicationId_292,0,1,2,2,1,False,0
SubscriptionId_7,InvestorId_1,ProductId_13,tv,LoanApplicationId_292,1,1,2,2,1,True,0
SubscriptionId_7,InvestorId_1,ProductId_4,data_bundles,LoanApplicationId_1044,1,1,6,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_15,utility_bill,LoanApplicationId_734,1,1,3,1,0,False,0
SubscriptionId_1,InvestorId_2,ProductId_7,airtime,LoanApplicationId_1474,1,1,39,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_1449,0,1,11,2,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_1449,1,1,11,2,0,False,0
SubscriptionId_1,InvestorId_2,ProductId_8,data_bundles,LoanApplicationId_52,1,1,16,1,0,False,0
SubscriptionId_1,InvestorId_2,ProductId_7,airtime,LoanApplicationId_492,1,1,39,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_1100,1,1,7,1,1,True,0
SubscriptionId_7,InvestorId_1,ProductId_4,data_bundles,LoanApplicationId_230,1,1,2,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_4,data_bundles,LoanApplicationId_59,1,1,3,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_337,1,1,2,1,0,False,0
SubscriptionId_1,InvestorId_2,ProductId_7,airtime,LoanApplicationId_913,1,1,39,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_1,airtime,LoanApplicationId_54,1,1,11,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_7,airtime,LoanApplicationId_311,1,1,6,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_407,0,1,11,2,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_407,1,1,11,2,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_882,0,1,97,2,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_882,1,1,97,2,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_7,airtime,LoanApplicationId_353,1,1,21,1,0,False,0
SubscriptionId_1,InvestorId_2,ProductId_7,airtime,LoanApplicationId_833,0,1,13,2,0,False,0
SubscriptionId_1,InvestorId_2,ProductId_7,airtime,LoanApplicationId_833,1,1,13,2,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_1,airtime,LoanApplicationId_375,1,1,1,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_1,airtime,LoanApplicationId_196,1,1,97,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_787,1,1,14,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_2,data_bundles,LoanApplicationId_1021,1,1,28,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_1174,0,1,97,2,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_1174,1,1,97,2,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_7,airtime,LoanApplicationId_331,1,1,97,1,0,False,0
SubscriptionId_1,InvestorId_2,ProductId_7,airtime,LoanApplicationId_1503,1,1,39,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_7,airtime,LoanApplicationId_927,1,1,2,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_126,1,1,7,1,1,True,0
SubscriptionId_7,InvestorId_1,ProductId_1,airtime,LoanApplicationId_643,0,1,3,2,1,False,0
SubscriptionId_7,InvestorId_1,ProductId_1,airtime,LoanApplicationId_643,1,1,3,2,1,True,0
SubscriptionId_7,InvestorId_1,ProductId_7,airtime,LoanApplicationId_1226,1,1,6,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_15,utility_bill,LoanApplicationId_1131,1,1,21,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_7,airtime,LoanApplicationId_1005,1,1,21,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_992,1,1,97,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_15,utility_bill,LoanApplicationId_1118,0,1,3,2,1,False,0
SubscriptionId_7,InvestorId_1,ProductId_15,utility_bill,LoanApplicationId_1118,1,1,3,2,1,True,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_1543,1,1,5,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_7,airtime,LoanApplicationId_1630,1,1,21,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_13,tv,LoanApplicationId_810,0,1,5,3,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_13,tv,LoanApplicationId_810,0,1,5,3,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_13,tv,LoanApplicationId_810,1,1,5,3,0,False,0
SubscriptionId_1,InvestorId_2,ProductId_7,airtime,LoanApplicationId_322,1,1,10,1,0,False,0
SubscriptionId_1,InvestorId_2,ProductId_7,airtime,LoanApplicationId_91,1,1,10,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_438,0,1,6,3,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_438,0,1,6,3,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_438,1,1,6,3,0,False,0
SubscriptionId_1,InvestorId_2,ProductId_13,tv,LoanApplicationId_1297,0,1,10,3,1,True,0
SubscriptionId_1,InvestorId_2,ProductId_13,tv,LoanApplicationId_1297,0,1,10,3,1,True,0
SubscriptionId_1,InvestorId_2,ProductId_13,tv,LoanApplicationId_1297,1,1,10,3,1,True,0
SubscriptionId_7,InvestorId_1,ProductId_7,airtime,LoanApplicationId_298,1,1,97,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_1,airtime,LoanApplicationId_868,0,1,11,2,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_1,airtime,LoanApplicationId_868,1,1,11,2,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_13,tv,LoanApplicationId_1424,1,1,5,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_7,airtime,LoanApplicationId_1194,1,1,97,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_1448,1,1,97,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_731,1,1,97,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_102,1,1,97,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_1321,1,1,97,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_7,airtime,LoanApplicationId_441,1,1,2,1,1,True,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_589,1,1,2,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_1605,1,1,2,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_7,airtime,LoanApplicationId_614,1,1,21,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_1346,1,1,97,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_1,airtime,LoanApplicationId_533,1,1,4,1,1,True,0
SubscriptionId_7,InvestorId_1,ProductId_7,airtime,LoanApplicationId_148,1,1,97,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_1117,0,1,1,1,0,False,1
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_1237,0,1,7,2,1,True,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_1237,1,1,7,2,1,True,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_1282,1,1,4,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_8,data_bundles,LoanApplicationId_929,1,1,4,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_8,data_bundles,LoanApplicationId_1440,1,1,12,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_8,data_bundles,LoanApplicationId_369,1,1,12,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_462,1,1,3,1,1,True,0
SubscriptionId_7,InvestorId_1,ProductId_7,airtime,LoanApplicationId_15,1,1,3,1,1,True,0
SubscriptionId_1,InvestorId_2,ProductId_7,airtime,LoanApplicationId_1159,0,1,10,2,1,False,0
SubscriptionId_1,InvestorId_2,ProductId_7,airtime,LoanApplicationId_1159,1,1,10,2,1,True,0
SubscriptionId_7,InvestorId_1,ProductId_8,data_bundles,LoanApplicationId_1380,1,1,4,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_467,1,1,10,1,1,True,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_3,1,1,12,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_540,1,1,2,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_832,1,1,10,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_1,airtime,LoanApplicationId_706,0,1,1,2,1,True,1
SubscriptionId_7,InvestorId_1,ProductId_1,airtime,LoanApplicationId_706,0,1,1,2,1,True,1
SubscriptionId_7,InvestorId_1,ProductId_7,airtime,LoanApplicationId_1560,1,1,2,1,1,True,0
SubscriptionId_7,InvestorId_1,ProductId_3,airtime,LoanApplicationId_1300,1,1,3,1,0,False,0
SubscriptionId_7,InvestorId_1,ProductId_7,airtime,LoanApplicationId_1316,1,1,24,1,0,False,0
